omega,tau,action,Count
0.8,0.787879,4,0.0911915
0.8,0.79798,1,0.0649244
0.8,0.79798,2,0.866805
0.8,0.79798,3,0.0033461
0.8,0.79798,4,0.0649243
0.8,0.808081,1,0.0740832
0.8,0.808081,2,0.843492
0.8,0.808081,3,0.0083422
0.8,0.808081,4,0.0740823
0.8,0.818182,1,0.0763677
0.8,0.818182,2,0.837031
0.8,0.818182,3,0.0102321
0.8,0.818182,4,0.0763688
0.8,0.828283,1,0.0846494
0.8,0.828283,2,0.824375
0.8,0.828283,3,0.0063258
0.8,0.828283,4,0.0846494
0.8,0.838384,1,0.0811394
0.8,0.838384,2,0.815446
0.8,0.838384,3,0.0222709
0.8,0.838384,4,0.081144
0.8,0.848485,1,0.06815
0.8,0.848485,2,0.832576
0.8,0.848485,3,0.0291265
0.8,0.848485,4,0.0701478
0.8,0.858586,1,0.104639
0.8,0.858586,2,0.780517
0.8,0.858586,3,0.0101951
0.8,0.858586,4,0.10465
0.8,0.868687,1,0.0589712
0.8,0.868687,2,0.878802
0.8,0.868687,3,0.0032565
0.8,0.868687,4,0.0589708
0.8,0.878788,1,0.0702726
0.8,0.878788,2,0.855731
0.8,0.878788,3,0.0037938
0.8,0.878788,4,0.0702026
0.8,0.888889,1,0.0755922
0.8,0.888889,2,0.840385
0.8,0.888889,3,0.0096795
0.8,0.888889,4,0.0743429
0.8,0.89899,1,0.0986075
0.8,0.89899,2,0.789637
0.8,0.89899,3,0.0072162
0.8,0.89899,4,0.104539
0.8,0.909091,1,0.0822566
0.8,0.909091,2,0.830043
0.8,0.909091,3,0.0054442
0.8,0.909091,4,0.0822562
0.8,0.919192,1,0.0701777
0.8,0.919192,2,0.857633
0.8,0.919192,3,0.0020126
0.8,0.919192,4,0.0701763
0.8,0.929293,1,0.0792074
0.8,0.929293,2,0.841568
0.8,0.929293,3,1.78e-05
0.8,0.929293,4,0.0792064
0.8,0.939394,1,0.0749566
0.8,0.939394,2,0.844012
0.8,0.939394,3,0.0052002
0.8,0.939394,4,0.0758315
0.8,0.949495,1,0.0936938
0.8,0.949495,2,0.810582
0.8,0.949495,3,0.0020308
0.8,0.949495,4,0.0936932
0.8,0.959596,1,0.0833053
0.8,0.959596,2,0.831324
0.8,0.959596,3,0.002078
0.8,0.959596,4,0.0832925
0.8,0.969697,1,0.0615182
0.8,0.969697,2,0.869869
0.8,0.969697,3,0.0090931
0.8,0.969697,4,0.0595194
0.8,0.979798,1,0.0767702
0.8,0.979798,2,0.838083
0.8,0.979798,3,0.0083766
0.8,0.979798,4,0.0767698
0.8,0.989899,1,0.112177
0.8,0.989899,2,0.768231
0.8,0.989899,3,0.0037475
0.8,0.989899,4,0.115845
0.8,1,1,0.0943761
0.8,1,2,0.807576
0.8,1,3,0.0036702
0.8,1,4,0.0943775
1,0,1,0.238601
1,0,2,0.256516
1,0,3,0.252038
1,0,4,0.252845
1,0.010101,1,0.261302
1,0.010101,2,0.228853
1,0.010101,3,0.218704
1,0.010101,4,0.291141
1,0.020202,1,0.224286
1,0.020202,2,0.233379
1,0.020202,3,0.25886
1,0.020202,4,0.283476
1,0.030303,1,0.289217
1,0.030303,2,0.199672
1,0.030303,3,0.247306
1,0.030303,4,0.263806
1,0.040404,1,0.259351
1,0.040404,2,0.252498
1,0.040404,3,0.213229
1,0.040404,4,0.274922
1,0.0505051,1,0.280893
1,0.0505051,2,0.273595
1,0.0505051,3,0.203521
1,0.0505051,4,0.24199
1,0.0606061,1,0.256618
1,0.0606061,2,0.257036
1,0.0606061,3,0.241047
1,0.0606061,4,0.245298
1,0.0707071,1,0.264966
1,0.0707071,2,0.241416
1,0.0707071,3,0.205097
1,0.0707071,4,0.288521
1,0.0808081,1,0.286489
1,0.0808081,2,0.281639
1,0.0808081,3,0.171937
1,0.0808081,4,0.259935
1,0.0909091,1,0.267526
1,0.0909091,2,0.294216
1,0.0909091,3,0.193127
1,0.0909091,4,0.245131
1,0.10101,1,0.236095
1,0.10101,2,0.381613
1,0.10101,3,0.186099
1,0.10101,4,0.196194
1,0.111111,1,0.213408
1,0.111111,2,0.3587
1,0.111111,3,0.216424
1,0.111111,4,0.211468
1,0.121212,1,0.193151
1,0.121212,2,0.377844
1,0.121212,3,0.220075
1,0.121212,4,0.20893
1,0.131313,1,0.226671
1,0.131313,2,0.375439
1,0.131313,3,0.190958
1,0.131313,4,0.206932
1,0.141414,1,0.205003
1,0.141414,2,0.383406
1,0.141414,3,0.189672
1,0.141414,4,0.221919
1,0.151515,1,0.172565
1,0.151515,2,0.450137
1,0.151515,3,0.21256
1,0.151515,4,0.164738
1,0.161616,1,0.197855
1,0.161616,2,0.421491
1,0.161616,3,0.213026
1,0.161616,4,0.167629
1,0.171717,1,0.151634
1,0.171717,2,0.454236
1,0.171717,3,0.239179
1,0.171717,4,0.154951
1,0.181818,1,0.161948
1,0.181818,2,0.432799
1,0.181818,3,0.23777
1,0.181818,4,0.167482
1,0.191919,1,0.184136
1,0.191919,2,0.432371
1,0.191919,3,0.19221
1,0.191919,4,0.191283
1,0.20202,1,0.165601
1,0.20202,2,0.445166
1,0.20202,3,0.198014
1,0.20202,4,0.191219
1,0.212121,1,0.170651
1,0.212121,2,0.439234
1,0.212121,3,0.225598
1,0.212121,4,0.164517
1,0.222222,1,0.141966
1,0.222222,2,0.471947
1,0.222222,3,0.242152
1,0.222222,4,0.143935
1,0.232323,1,0.114815
1,0.232323,2,0.553377
1,0.232323,3,0.198577
1,0.232323,4,0.133231
1,0.242424,1,0.172841
1,0.242424,2,0.521289
1,0.242424,3,0.129878
1,0.242424,4,0.175991
1,0.252525,1,0.158879
1,0.252525,2,0.524373
1,0.252525,3,0.157903
1,0.252525,4,0.158845
1,0.262626,1,0.162419
1,0.262626,2,0.477382
1,0.262626,3,0.181802
1,0.262626,4,0.178398
1,0.272727,1,0.159418
1,0.272727,2,0.497778
1,0.272727,3,0.164393
1,0.272727,4,0.178412
1,0.282828,1,0.15265
1,0.282828,2,0.537377
1,0.282828,3,0.16724
1,0.282828,4,0.142733
1,0.292929,1,0.14226
1,0.292929,2,0.55739
1,0.292929,3,0.17084
1,0.292929,4,0.12951
1,0.30303,1,0.162451
