omega,a,action,Count
0.8,1.49495,1,0.0031512
0.8,1.49495,2,0.993561
0.8,1.49495,3,0.0009456
0.8,1.49495,4,0.0023422
0.8,1.50505,1,0.0022758
0.8,1.50505,2,0.994079
0.8,1.50505,3,0.0011192
0.8,1.50505,4,0.002526
0.8,1.51515,1,0.0019682
0.8,1.51515,2,0.99522
0.8,1.51515,3,0.0009438
0.8,1.51515,4,0.001868
0.8,1.52525,1,0.0017221
0.8,1.52525,2,0.995607
0.8,1.52525,3,0.0009104
0.8,1.52525,4,0.0017602
0.8,1.53535,1,0.0010732
0.8,1.53535,2,0.997185
0.8,1.53535,3,0.0005764
0.8,1.53535,4,0.0011649
0.8,1.54545,1,0.0014891
0.8,1.54545,2,0.995622
0.8,1.54545,3,0.0009943
0.8,1.54545,4,0.0018942
0.8,1.55556,1,0.0030221
0.8,1.55556,2,0.99484
0.8,1.55556,3,0.0006663
0.8,1.55556,4,0.0014718
0.8,1.56566,1,0.0020002
0.8,1.56566,2,0.993882
0.8,1.56566,3,0.0007443
0.8,1.56566,4,0.0033738
0.8,1.57576,1,0.0035607
0.8,1.57576,2,0.992473
0.8,1.57576,3,0.0007089
0.8,1.57576,4,0.0032576
0.8,1.58586,1,0.0009023
0.8,1.58586,2,0.995938
0.8,1.58586,3,0.0003935
0.8,1.58586,4,0.0027659
0.8,1.59596,1,0.0037476
0.8,1.59596,2,0.994567
0.8,1.59596,3,0.0006035
0.8,1.59596,4,0.001082
0.8,1.60606,1,0.0010264
0.8,1.60606,2,0.993862
0.8,1.60606,3,0.0004217
0.8,1.60606,4,0.0046903
0.8,1.61616,1,0.0005782
0.8,1.61616,2,0.99846
0.8,1.61616,3,0.0003298
0.8,1.61616,4,0.0006321
0.8,1.62626,1,0.0005865
0.8,1.62626,2,0.998395
0.8,1.62626,3,0.0003049
0.8,1.62626,4,0.0007131
0.8,1.63636,1,0.0004743
0.8,1.63636,2,0.994103
0.8,1.63636,3,0.0003648
0.8,1.63636,4,0.0050583
0.8,1.64646,1,0.0047213
0.8,1.64646,2,0.992723
0.8,1.64646,3,0.0003162
0.8,1.64646,4,0.0022397
0.8,1.65657,1,0.0022855
0.8,1.65657,2,0.995148
0.8,1.65657,3,0.0001919
0.8,1.65657,4,0.0023748
0.8,1.66667,1,0.0064975
0.8,1.66667,2,0.988751
0.8,1.66667,3,0.0002013
0.8,1.66667,4,0.0045503
0.8,1.67677,1,0.0081001
0.8,1.67677,2,0.983328
0.8,1.67677,3,0.000169
0.8,1.67677,4,0.0084034
0.8,1.68687,1,0.0024704
0.8,1.68687,2,0.996635
0.8,1.68687,3,0.0002022
0.8,1.68687,4,0.0006928
0.8,1.69697,1,0.002722
0.8,1.69697,2,0.996875
0.8,1.69697,3,0.0001394
0.8,1.69697,4,0.0002638
