omega,gamma,beta,firm,profit
1,0.0978812,1.13636e-05,2,0.132869
1,0.0978812,1.15556e-05,1,0.136062
1,0.0978812,1.15556e-05,2,0.135081
1,0.0978812,1.17475e-05,1,0.135049
1,0.0978812,1.17475e-05,2,0.134132
1,0.0978812,1.19394e-05,1,0.135353
1,0.0978812,1.19394e-05,2,0.134939
1,0.0978812,1.21313e-05,1,0.136101
1,0.0978812,1.21313e-05,2,0.134444
1,0.0978812,1.23232e-05,1,0.135517
1,0.0978812,1.23232e-05,2,0.136603
1,0.0978812,1.25151e-05,1,0.134785
1,0.0978812,1.25151e-05,2,0.135432
1,0.0978812,1.27071e-05,1,0.13464
1,0.0978812,1.27071e-05,2,0.135678
1,0.0978812,1.2899e-05,1,0.136136
1,0.0978812,1.2899e-05,2,0.134814
1,0.0978812,1.30909e-05,1,0.135391
1,0.0978812,1.30909e-05,2,0.134481
1,0.0978812,1.32828e-05,1,0.133872
1,0.0978812,1.32828e-05,2,0.134568
1,0.0978812,1.34747e-05,1,0.134784
1,0.0978812,1.34747e-05,2,0.134283
1,0.0978812,1.36667e-05,1,0.134007
1,0.0978812,1.36667e-05,2,0.134896
1,0.0978812,1.38586e-05,1,0.134454
1,0.0978812,1.38586e-05,2,0.135062
1,0.0978812,1.40505e-05,1,0.134864
1,0.0978812,1.40505e-05,2,0.134853
1,0.0978812,1.42424e-05,1,0.135106
1,0.0978812,1.42424e-05,2,0.13529
1,0.0978812,1.44343e-05,1,0.13428
1,0.0978812,1.44343e-05,2,0.133721
1,0.0978812,1.46262e-05,1,0.13335
1,0.0978812,1.46262e-05,2,0.135186
1,0.0978812,1.48182e-05,1,0.134625
1,0.0978812,1.48182e-05,2,0.135462
1,0.0978812,1.50101e-05,1,0.135013
1,0.0978812,1.50101e-05,2,0.134792
1,0.0978812,1.5202e-05,1,0.132773
1,0.0978812,1.5202e-05,2,0.134021
1,0.10081,5.798e-06,1,0.135882
1,0.10081,5.798e-06,2,0.135649
1,0.10081,5.98992e-06,1,0.135744
1,0.10081,5.98992e-06,2,0.135765
1,0.10081,6.18184e-06,1,0.13503
