omega,gamma,theta_1,t
1,0.040404,0.9,1.77784e+06
1,0.040404,1,1.74045e+06
1,0.040404,1.1,1.74693e+06
1,0.0505051,0.9,1.822e+06
1,0.0505051,1,1.78771e+06
1,0.0505051,1.1,1.6696e+06
1,0.0606061,0.9,1.79318e+06
1,0.0606061,1,1.79356e+06
1,0.0606061,1.1,1.68805e+06
1,0.0707071,0.9,1.80486e+06
1,0.0707071,1,1.75406e+06
1,0.0707071,1.1,1.69725e+06
1,0.0808081,0.9,1.7556e+06
1,0.0808081,1,1.71291e+06
1,0.0808081,1.1,1.67463e+06
1,0.0909091,0.9,1.79108e+06
1,0.0909091,1,1.71754e+06
1,0.0909091,1.1,1.69575e+06
1,0.10101,0.9,1.71792e+06
1,0.10101,1,1.70675e+06
1,0.10101,1.1,1.67315e+06
1,0.111111,0.9,1.74543e+06
1,0.111111,1,1.76918e+06
1,0.111111,1.1,1.6899e+06
1,0.121212,0.9,1.6629e+06
1,0.121212,1,1.69614e+06
1,0.121212,1.1,1.70439e+06
1,0.131313,0.9,1.685e+06
1,0.131313,1,1.68061e+06
1,0.131313,1.1,1.64529e+06
1,0.141414,0.9,1.72753e+06
1,0.141414,1,1.63644e+06
1,0.141414,1.1,1.71389e+06
1,0.151515,0.9,1.7211e+06
1,0.151515,1,1.64353e+06
1,0.151515,1.1,1.62878e+06
1,0.161616,0.9,1.69548e+06
1,0.161616,1,1.66962e+06
1,0.161616,1.1,1.62382e+06
1,0.171717,0.9,1.64318e+06
1,0.171717,1,1.60724e+06
1,0.171717,1.1,1.54338e+06
1,0.181818,0.9,1.6655e+06
1,0.181818,1,1.65044e+06
1,0.181818,1.1,1.56492e+06
1,0.191919,0.9,1.71397e+06
1,0.191919,1,1.6865e+06
1,0.191919,1.1,1.55862e+06
1,0.20202,0.9,1.73006e+06
1,0.20202,1,1.63151e+06
1,0.20202,1.1,1.5408e+06
1,0.212121,0.9,1.70696e+06
1,0.212121,1,1.58613e+06
1,0.212121,1.1,1.54716e+06
1,0.222222,0.9,1.73442e+06
1,0.222222,1,1.64807e+06
1,0.222222,1.1,1.53608e+06
1,0.232323,0.9,1.6987e+06
1,0.232323,1,1.63043e+06
1,0.232323,1.1,1.51477e+06
1,0.242424,0.9,1.72029e+06
1,0.242424,1,1.5816e+06
1,0.242424,1.1,1.54453e+06
1,0.252525,0.9,1.73929e+06
1,0.252525,1,1.56889e+06
1,0.252525,1.1,1.5208e+06
1,0.262626,0.9,1.66299e+06
1,0.262626,1,1.54305e+06
1,0.262626,1.1,1.46568e+06
1,0.272727,0.9,1.59404e+06
1,0.272727,1,1.56081e+06
1,0.272727,1.1,1.49893e+06
1,0.282828,0.9,1.62328e+06
1,0.282828,1,1.64782e+06
1,0.282828,1.1,1.49295e+06
1,0.292929,0.9,1.61578e+06
1,0.292929,1,1.55193e+06
1,0.292929,1.1,1.44255e+06
1,0.30303,0.9,1.56438e+06
1,0.30303,1,1.59544e+06
1,0.30303,1.1,1.42958e+06
1,0.313131,0.9,1.49132e+06
1,0.313131,1,1.61555e+06
1,0.313131,1.1,1.47e+06
1,0.323232,0.9,1.50387e+06
1,0.323232,1,1.55697e+06
1,0.323232,1.1,1.3883e+06
1,0.333333,0.9,1.41676e+06
1,0.333333,1,1.56956e+06
1,0.333333,1.1,1.47205e+06
1,0.343434,0.9,1.32187e+06
1,0.343434,1,1.46588e+06
1,0.343434,1.1,1.50085e+06
1,0.353535,0.9,1.33853e+06
1,0.353535,1,1.45499e+06
1,0.353535,1.1,1.46106e+06
1,0.363636,0.9,1.30057e+06
1,0.363636,1,1.48638e+06
1,0.363636,1.1,1.46383e+06
1,0.373737,0.9,1.30484e+06
1,0.373737,1,1.46021e+06
1,0.373737,1.1,1.40444e+06
1,0.383838,0.9,1.27449e+06
1,0.383838,1,1.36446e+06
1,0.383838,1.1,1.39682e+06
1,0.393939,0.9,1.28589e+06
1,0.393939,1,1.37907e+06
1,0.393939,1.1,1.45093e+06
1,0.40404,0.9,1.26282e+06
1,0.40404,1,1.40278e+06
1,0.40404,1.1,1.43931e+06
1,0.414141,0.9,1.28239e+06
1,0.414141,1,1.36926e+06
1,0.414141,1.1,1.44316e+06
