omega,alpha,beta,action,Count
0,0.0527027,1.14865e-05,1,0.0953668
0,0.0527027,1.14865e-05,2,0.782093
0,0.0527027,1.14865e-05,3,0.0271584
0,0.0527027,1.14865e-05,4,0.0953818
0,0.0527027,1.16216e-05,1,0.100892
0,0.0527027,1.16216e-05,2,0.774275
0,0.0527027,1.16216e-05,3,0.0236649
0,0.0527027,1.16216e-05,4,0.101168
0,0.0527027,1.17568e-05,1,0.084018
0,0.0527027,1.17568e-05,2,0.818894
0,0.0527027,1.17568e-05,3,0.012984
0,0.0527027,1.17568e-05,4,0.0841039
0,0.0527027,1.18919e-05,1,0.102298
0,0.0527027,1.18919e-05,2,0.782354
0,0.0527027,1.18919e-05,3,0.0124999
0,0.0527027,1.18919e-05,4,0.102848
0,0.0527027,1.2027e-05,1,0.0914599
0,0.0527027,1.2027e-05,2,0.813254
0,0.0527027,1.2027e-05,3,0.0039444
0,0.0527027,1.2027e-05,4,0.0913418
0,0.0527027,1.21622e-05,1,0.0888229
0,0.0527027,1.21622e-05,2,0.795903
0,0.0527027,1.21622e-05,3,0.0264942
0,0.0527027,1.21622e-05,4,0.0887795
0,0.0527027,1.22973e-05,1,0.112243
0,0.0527027,1.22973e-05,2,0.761512
0,0.0527027,1.22973e-05,3,0.0171289
0,0.0527027,1.22973e-05,4,0.109116
0,0.0527027,1.24324e-05,1,0.0945084
0,0.0527027,1.24324e-05,2,0.794687
0,0.0527027,1.24324e-05,3,0.0162616
0,0.0527027,1.24324e-05,4,0.0945433
0,0.0527027,1.25676e-05,1,0.068436
0,0.0527027,1.25676e-05,2,0.834091
0,0.0527027,1.25676e-05,3,0.0286526
0,0.0527027,1.25676e-05,4,0.0688202
0,0.0527027,1.27027e-05,1,0.0844331
0,0.0527027,1.27027e-05,2,0.810301
0,0.0527027,1.27027e-05,3,0.0206835
0,0.0527027,1.27027e-05,4,0.0845826
0,0.0527027,1.28378e-05,1,0.0778148
0,0.0527027,1.28378e-05,2,0.830029
0,0.0527027,1.28378e-05,3,0.0141857
0,0.0527027,1.28378e-05,4,0.0779706
0,0.0527027,1.2973e-05,1,0.0863366
0,0.0527027,1.2973e-05,2,0.814402
0,0.0527027,1.2973e-05,3,0.0129251
0,0.0527027,1.2973e-05,4,0.0863362
0,0.0527027,1.31081e-05,1,0.0544046
0,0.0527027,1.31081e-05,2,0.874162
0,0.0527027,1.31081e-05,3,0.0169537
0,0.0527027,1.31081e-05,4,0.0544801
0,0.0527027,1.32432e-05,1,0.0810945
0,0.0527027,1.32432e-05,2,0.811948
0,0.0527027,1.32432e-05,3,0.0260212
0,0.0527027,1.32432e-05,4,0.0809366
0,0.0527027,1.33784e-05,1,0.0904381
0,0.0527027,1.33784e-05,2,0.796559
0,0.0527027,1.33784e-05,3,0.0223668
0,0.0527027,1.33784e-05,4,0.0906362
0,0.0527027,1.35135e-05,1,0.126407
0,0.0527027,1.35135e-05,2,0.735367
0,0.0527027,1.35135e-05,3,0.0084083
0,0.0527027,1.35135e-05,4,0.129818
0,0.0527027,1.36486e-05,1,0.09851
0,0.0527027,1.36486e-05,2,0.795322
0,0.0527027,1.36486e-05,3,0.0076997
0,0.0527027,1.36486e-05,4,0.0984682
0,0.0527027,1.37838e-05,1,0.096011
0,0.0527027,1.37838e-05,2,0.776748
0,0.0527027,1.37838e-05,3,0.0310233
0,0.0527027,1.37838e-05,4,0.0962176
0,0.0527027,1.39189e-05,1,0.0809393
0,0.0527027,1.39189e-05,2,0.82873
0,0.0527027,1.39189e-05,3,0.0093555
0,0.0527027,1.39189e-05,4,0.0809753
0,0.0527027,1.40541e-05,1,0.0616649
0,0.0527027,1.40541e-05,2,0.860434
0,0.0527027,1.40541e-05,3,0.0182438
0,0.0527027,1.40541e-05,4,0.0596571
0,0.0527027,1.41892e-05,1,0.0783162
0,0.0527027,1.41892e-05,2,0.814051
0,0.0527027,1.41892e-05,3,0.0293597
0,0.0527027,1.41892e-05,4,0.0782727
0,0.0527027,1.43243e-05,1,0.0836464
0,0.0527027,1.43243e-05,2,0.81303
0,0.0527027,1.43243e-05,3,0.0197144
0,0.0527027,1.43243e-05,4,0.0836089
0,0.0527027,1.44595e-05,1,0.0813891
0,0.0527027,1.44595e-05,2,0.823448
0,0.0527027,1.44595e-05,3,0.0137963
0,0.0527027,1.44595e-05,4,0.0813666
0,0.0527027,1.45946e-05,1,0.0926487
0,0.0527027,1.45946e-05,2,0.771003
0,0.0527027,1.45946e-05,3,0.0430395
0,0.0527027,1.45946e-05,4,0.0933089
0,0.0527027,1.47297e-05,1,0.10004
0,0.0527027,1.47297e-05,2,0.784839
0,0.0527027,1.47297e-05,3,0.0153933
0,0.0527027,1.47297e-05,4,0.0997269
0,0.0527027,1.48649e-05,1,0.0762913
0,0.0527027,1.48649e-05,2,0.824773
0,0.0527027,1.48649e-05,3,0.0225713
0,0.0527027,1.48649e-05,4,0.0763645
0,0.0527027,1.5e-05,1,0.100812
0,0.0527027,1.5e-05,2,0.773386
0,0.0527027,1.5e-05,3,0.0247736
0,0.0527027,1.5e-05,4,0.101029
0,0.0554054,5e-06,1,0.121638
0,0.0554054,5e-06,2,0.734739
0,0.0554054,5e-06,3,0.0183783
0,0.0554054,5e-06,4,0.125245
0,0.0554054,5.13514e-06,1,0.118562
0,0.0554054,5.13514e-06,2,0.729549
0,0.0554054,5.13514e-06,3,0.0345549
0,0.0554054,5.13514e-06,4,0.117334
0,0.0554054,5.27027e-06,1,0.125579
